PL_NAME
2MASS J12073346-3932539 b
WASP-62 b
WASP-62 b
WASP-63 b
WASP-64 b
WASP-65 b
WASP-67 b
WASP-67 b
WASP-67 b
WASP-67 b
WASP-67 b
WASP-69 b
WASP-69 b
WASP-69 b
WASP-69 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-74 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-76 b
WASP-77 A b
WASP-77 A b
WASP-77 A b
WASP-77 A b
WASP-78 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-79 b
WASP-8 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-80 b
WASP-87 b
WASP-94 A b
WASP-96 b
WASP-96 b
WASP-97 b
WASP-98 b
WD 0806-661 b
XO-1 b
XO-1 b
XO-1 b
XO-2 N b
XO-2 N b
XO-2 N b
XO-2 N b
XO-2 N b
XO-2 N b
XO-3 b
XO-3 b
XO-3 b
XO-4 b
bet Pic b
bet Pic b
bet Pic b
bet Pic b
eps Ind A b
eps Ind A b
